IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.65.190.252,443,443,true,FRA,Europe,Frankfurt,178,9.83
34.65.196.170,443,443,true,AMS,Europe,Amsterdam,176,9.83
34.65.142.228,443,443,true,FRA,Europe,Frankfurt,189,9.79
34.65.122.213,443,443,true,FRA,Europe,Frankfurt,196,9.74
34.65.171.227,443,443,true,FRA,Europe,Frankfurt,192,9.74
34.65.171.157,443,443,true,FRA,Europe,Frankfurt,206,9.73
34.65.111.127,443,443,true,AMS,Europe,Amsterdam,178,9.71
34.65.252.184,443,443,true,FRA,Europe,Frankfurt,177,9.71
34.88.63.160,443,443,true,FRA,Europe,Frankfurt,193,9.70
34.65.204.130,443,443,true,FRA,Europe,Frankfurt,176,9.68
34.118.99.186,443,443,true,FRA,Europe,Frankfurt,194,9.66
34.116.207.140,443,443,true,FRA,Europe,Frankfurt,202,9.65
34.88.63.160,443,443,true,FRA,Europe,Frankfurt,190,9.65
34.118.124.151,443,443,true,FRA,Europe,Frankfurt,195,9.65
34.65.122.213,443,443,true,FRA,Europe,Frankfurt,181,9.64
34.116.233.144,443,443,true,FRA,Europe,Frankfurt,187,9.64
34.65.91.34,443,443,true,FRA,Europe,Frankfurt,187,9.63
34.116.241.33,443,443,true,AMS,Europe,Amsterdam,229,9.62
34.32.196.236,443,443,true,FRA,Europe,Frankfurt,200,9.62
34.65.78.7,443,443,true,FRA,Europe,Frankfurt,174,9.62
34.65.7.107,443,443,true,FRA,Europe,Frankfurt,177,9.61
34.65.58.194,443,443,true,FRA,Europe,Frankfurt,177,9.60
34.65.131.249,443,443,true,AMS,Europe,Amsterdam,177,9.60
34.116.221.87,443,443,true,FRA,Europe,Frankfurt,188,9.58
34.118.0.250,443,443,true,FRA,Europe,Frankfurt,185,9.57
34.116.219.69,443,443,true,FRA,Europe,Frankfurt,188,9.55
34.118.68.119,443,443,true,FRA,Europe,Frankfurt,204,9.54
34.88.63.160,443,443,true,FRA,Europe,Frankfurt,187,9.51
34.34.26.230,443,0,true,FRA,Europe,Frankfurt,179,9.50
34.32.227.102,443,443,true,FRA,Europe,Frankfurt,183,9.50
34.118.71.7,443,443,true,FRA,Europe,Frankfurt,190,9.49
34.118.4.227,443,443,true,FRA,Europe,Frankfurt,187,9.47
34.65.171.172,443,443,true,AMS,Europe,Amsterdam,184,9.44
34.65.150.119,443,443,true,FRA,Europe,Frankfurt,179,9.44
34.65.84.112,443,443,true,FRA,Europe,Frankfurt,216,9.44
34.116.237.230,443,443,true,FRA,Europe,Frankfurt,186,9.43
34.154.147.205,443,443,true,FRA,Europe,Frankfurt,193,9.40
34.65.122.235,443,443,true,FRA,Europe,Frankfurt,238,9.39
34.118.58.9,443,443,true,FRA,Europe,Frankfurt,199,9.39
34.34.36.61,443,443,true,FRA,Europe,Frankfurt,177,9.38
34.65.169.189,443,443,true,FRA,Europe,Frankfurt,196,9.38
34.65.238.141,443,443,true,FRA,Europe,Frankfurt,192,9.38
34.118.38.185,443,443,true,FRA,Europe,Frankfurt,189,9.37
34.32.224.57,443,443,true,FRA,Europe,Frankfurt,188,9.37
34.159.222.93,443,443,true,FRA,Europe,Frankfurt,181,9.36
34.118.41.105,443,443,true,FRA,Europe,Frankfurt,184,9.36
34.154.176.30,443,443,true,FRA,Europe,Frankfurt,213,9.34
34.154.183.62,443,443,true,FRA,Europe,Frankfurt,195,9.33
34.118.56.37,443,443,true,FRA,Europe,Frankfurt,195,9.31
34.154.177.131,443,443,true,AMS,Europe,Amsterdam,208,9.31
34.154.134.203,443,443,true,FRA,Europe,Frankfurt,190,9.31
34.34.26.94,443,443,true,FRA,Europe,Frankfurt,207,9.30
34.32.179.95,443,443,true,FRA,Europe,Frankfurt,177,9.29
34.118.21.89,443,443,true,FRA,Europe,Frankfurt,179,9.28
34.32.227.136,443,443,true,FRA,Europe,Frankfurt,191,9.27
34.65.196.170,443,443,true,FRA,Europe,Frankfurt,191,9.26
34.32.165.227,443,443,true,FRA,Europe,Frankfurt,195,9.23
34.90.5.203,443,443,true,FRA,Europe,Frankfurt,221,9.23
34.154.133.197,443,443,true,FRA,Europe,Frankfurt,182,9.23
34.65.188.48,443,443,true,FRA,Europe,Frankfurt,176,9.23
34.116.195.106,443,443,true,FRA,Europe,Frankfurt,197,9.22
34.65.171.227,443,443,true,FRA,Europe,Frankfurt,198,9.20
34.154.106.62,443,443,true,FRA,Europe,Frankfurt,180,9.18
34.65.18.138,443,443,true,FRA,Europe,Frankfurt,187,9.18
34.65.172.12,443,443,true,FRA,Europe,Frankfurt,186,9.14
34.65.7.107,443,443,true,FRA,Europe,Frankfurt,178,9.14
34.65.240.58,443,443,true,FRA,Europe,Frankfurt,180,9.13
34.32.240.124,443,443,true,CDG,Europe,Paris,177,9.11
34.118.36.94,443,443,true,FRA,Europe,Frankfurt,198,9.10
34.65.122.213,443,443,true,FRA,Europe,Frankfurt,236,9.10
34.41.252.92,443,443,true,ORD,North America,Chicago,205,9.09
34.116.211.3,443,443,true,AMS,Europe,Amsterdam,185,9.08
34.65.3.75,443,443,true,CDG,Europe,Paris,202,9.07
34.65.168.5,443,443,true,FRA,Europe,Frankfurt,262,9.05
34.154.1.135,443,443,true,FRA,Europe,Frankfurt,235,9.05
34.123.83.237,443,443,true,ORD,North America,Chicago,210,9.04
34.118.7.118,443,443,true,FRA,Europe,Frankfurt,189,9.03
34.123.83.237,443,443,true,ORD,North America,Chicago,205,9.03
