IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.196.24,2052,2052,false,SIN,Asia Pacific,Singapore,13,11.38
47.245.59.188,2096,2096,true,NRT,Asia Pacific,Tokyo,216,11.38
8.219.228.30,8443,8443,true,SIN,Asia Pacific,Singapore,128,11.37
8.222.144.117,2096,2096,true,SIN,Asia Pacific,Singapore,91,11.37
47.245.59.188,2095,2095,false,NRT,Asia Pacific,Tokyo,73,11.37
8.219.193.22,2053,2053,true,SIN,Asia Pacific,Singapore,119,11.37
47.74.60.230,2083,2083,true,HKG,Asia Pacific,Hong Kong,295,11.37
47.245.52.240,8880,8880,false,NRT,Asia Pacific,Tokyo,101,11.37
8.219.230.254,2087,2087,true,SIN,Asia Pacific,Singapore,163,11.37
47.74.39.194,80,80,false,NRT,Asia Pacific,Tokyo,77,11.36
47.74.27.94,2086,2086,false,NRT,Asia Pacific,Tokyo,74,11.36
47.236.71.226,2083,2083,true,SIN,Asia Pacific,Singapore,238,11.36
47.236.92.191,2053,2053,true,SIN,Asia Pacific,Singapore,111,11.36
8.219.67.133,2086,2086,false,SIN,Asia Pacific,Singapore,14,11.36
47.74.8.238,2083,2083,true,NRT,Asia Pacific,Tokyo,93,11.36
47.74.9.174,2083,2083,true,NRT,Asia Pacific,Tokyo,169,11.36
47.245.4.219,2087,2087,true,NRT,Asia Pacific,Tokyo,216,11.36
47.236.148.174,80,80,false,CDG,Europe,Paris,212,11.35
8.222.160.61,2052,2052,false,CDG,Europe,Paris,195,11.35
47.245.4.219,2052,2052,false,NRT,Asia Pacific,Tokyo,76,11.35
47.74.46.84,2083,2083,true,NRT,Asia Pacific,Tokyo,132,11.35
47.236.171.205,8443,8443,true,SIN,Asia Pacific,Singapore,101,11.35
47.74.11.9,8443,8443,true,NRT,Asia Pacific,Tokyo,133,11.34
8.219.245.232,2087,2087,true,HKG,Asia Pacific,Hong Kong,297,11.34
47.245.41.84,2087,2087,true,NRT,Asia Pacific,Tokyo,75,11.34
8.219.6.187,2052,2052,false,SIN,Asia Pacific,Singapore,10,11.34
47.91.16.198,2083,2083,true,NRT,Asia Pacific,Tokyo,74,11.34
47.74.13.239,2052,2052,false,NRT,Asia Pacific,Tokyo,82,11.34
8.219.174.213,2087,2087,true,SIN,Asia Pacific,Singapore,156,11.34
47.245.38.233,8443,8443,true,NRT,Asia Pacific,Tokyo,293,11.33
47.91.18.207,2053,2053,true,NRT,Asia Pacific,Tokyo,113,11.33
47.74.59.177,2082,2082,false,NRT,Asia Pacific,Tokyo,78,11.33
8.219.217.81,2096,2096,true,SIN,Asia Pacific,Singapore,171,11.33
8.209.214.222,2053,2053,true,NRT,Asia Pacific,Tokyo,84,11.33
8.219.237.250,8880,8880,false,CDG,Europe,Paris,165,11.33
8.219.245.187,2096,2096,true,SIN,Asia Pacific,Singapore,84,11.32
47.245.10.164,8080,8080,false,NRT,Asia Pacific,Tokyo,77,11.32
8.219.228.193,2087,2087,true,SIN,Asia Pacific,Singapore,158,11.32
47.245.6.9,2095,2095,false,HKG,Asia Pacific,Hong Kong,157,11.32
8.219.215.214,2052,2052,false,SIN,Asia Pacific,Singapore,17,11.32
8.219.191.40,8080,8080,false,SIN,Asia Pacific,Singapore,21,11.32
8.219.210.64,2087,2087,true,SIN,Asia Pacific,Singapore,150,11.32
8.219.245.187,443,443,true,SIN,Asia Pacific,Singapore,216,11.32
47.245.59.243,8443,8443,true,NRT,Asia Pacific,Tokyo,180,11.31
47.236.17.165,2052,2052,false,SIN,Asia Pacific,Singapore,35,11.31
47.74.54.145,2083,2083,true,NRT,Asia Pacific,Tokyo,118,11.30
47.74.39.194,2095,2095,false,NRT,Asia Pacific,Tokyo,73,11.30
47.245.9.99,8443,8443,true,NRT,Asia Pacific,Tokyo,208,11.30
8.219.114.201,2096,2096,true,KIX,Asia Pacific,Osaka,210,11.29
47.236.97.254,8080,8080,false,KIX,Asia Pacific,Osaka,111,11.29
47.74.15.117,8080,8080,false,NRT,Asia Pacific,Tokyo,75,11.29
47.245.11.62,8443,8443,true,NRT,Asia Pacific,Tokyo,195,11.29
47.236.94.109,2096,2096,true,SIN,Asia Pacific,Singapore,92,11.29
47.236.94.113,8080,8080,false,SIN,Asia Pacific,Singapore,12,11.29
47.245.13.93,8080,8080,false,NRT,Asia Pacific,Tokyo,73,11.29
47.236.144.208,2052,2052,false,SIN,Asia Pacific,Singapore,12,11.29
8.219.153.44,2086,2086,false,SIN,Asia Pacific,Singapore,23,11.28
8.219.197.111,2053,2053,true,SIN,Asia Pacific,Singapore,166,11.28
8.222.168.24,8880,8880,false,SIN,Asia Pacific,Singapore,16,11.28
8.222.180.86,2096,2096,true,SIN,Asia Pacific,Singapore,144,11.28
47.245.41.169,2095,2095,false,NRT,Asia Pacific,Tokyo,78,11.27
47.236.166.84,80,80,false,SIN,Asia Pacific,Singapore,17,11.27
47.74.23.99,8880,8880,false,NRT,Asia Pacific,Tokyo,70,11.27
47.245.55.94,2087,2087,true,NRT,Asia Pacific,Tokyo,189,11.27
8.219.107.199,2095,2095,false,CDG,Europe,Paris,191,11.27
8.219.190.62,443,443,true,SIN,Asia Pacific,Singapore,9,11.26
8.219.249.38,2096,2096,true,HKG,Asia Pacific,Hong Kong,211,11.26
47.236.158.158,8880,8880,false,CDG,Europe,Paris,197,11.26
47.245.41.69,8880,8880,false,NRT,Asia Pacific,Tokyo,76,11.26
8.219.230.254,2052,2052,false,SIN,Asia Pacific,Singapore,28,11.25
