IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
54.233.233.153,8880,0,false,ORD,North America,Chicago,391,0.00
54.233.88.78,2052,0,false,ORD,North America,Chicago,392,0.00
18.229.136.178,2086,0,false,ORD,North America,Chicago,381,0.00
15.228.238.38,2087,0,false,ORD,North America,Chicago,384,0.00
15.228.234.233,2086,0,false,ORD,North America,Chicago,371,0.00
18.230.228.65,443,0,false,ORD,North America,Chicago,379,0.00
18.231.192.190,2096,0,false,ORD,North America,Chicago,383,0.00
18.230.228.65,2095,0,false,ORD,North America,Chicago,377,0.00
18.230.5.16,8880,0,false,ORD,North America,Chicago,376,0.00
18.229.62.3,80,0,false,ORD,North America,Chicago,379,0.00
18.229.255.39,2083,0,false,ORD,North America,Chicago,374,0.00
18.228.156.55,8443,0,false,ORD,North America,Chicago,388,0.00
18.231.33.117,80,0,false,ORD,North America,Chicago,383,0.00
18.230.5.16,2095,0,false,ORD,North America,Chicago,393,0.00
15.228.191.159,8443,0,false,ORD,North America,Chicago,380,0.00
15.228.203.141,2086,0,false,ORD,North America,Chicago,384,0.00
18.230.5.16,8080,0,false,ORD,North America,Chicago,379,0.00
18.228.156.55,8080,0,false,ORD,North America,Chicago,402,0.00
15.228.205.143,8880,0,false,ORD,North America,Chicago,375,0.00
18.229.136.178,8880,0,false,ORD,North America,Chicago,376,0.00
15.228.238.38,2053,0,false,ORD,North America,Chicago,374,0.00
54.233.119.172,80,0,false,ORD,North America,Chicago,382,0.00
18.228.198.164,80,0,false,ORD,North America,Chicago,376,0.00
15.229.16.152,2083,0,false,ORD,North America,Chicago,376,0.00
18.231.28.69,2053,0,false,ORD,North America,Chicago,396,0.00
18.230.227.254,2087,0,false,ORD,North America,Chicago,379,0.00
18.229.136.178,2083,0,false,ORD,North America,Chicago,392,0.00
54.233.233.153,2082,0,false,ORD,North America,Chicago,376,0.00
18.229.255.39,2086,0,false,ORD,North America,Chicago,383,0.00
18.231.28.69,2052,0,false,ORD,North America,Chicago,378,0.00
18.230.227.254,2052,0,false,ORD,North America,Chicago,398,0.00
54.233.88.78,2086,0,false,ORD,North America,Chicago,379,0.00
15.228.203.141,2087,0,false,ORD,North America,Chicago,389,0.00
15.229.16.152,2052,0,false,ORD,North America,Chicago,384,0.00
18.229.136.178,2082,0,false,ORD,North America,Chicago,390,0.00
18.228.156.55,2083,0,false,ORD,North America,Chicago,390,0.00
15.228.242.61,443,0,false,ORD,North America,Chicago,371,0.00
15.228.236.2,2082,0,false,ORD,North America,Chicago,391,0.00
15.228.203.141,8880,0,false,ORD,North America,Chicago,374,0.00
15.228.191.159,2096,0,false,ORD,North America,Chicago,386,0.00
18.230.227.254,2083,0,false,ORD,North America,Chicago,401,0.00
18.229.136.178,2096,0,false,ORD,North America,Chicago,375,0.00
18.229.136.178,8443,0,false,ORD,North America,Chicago,381,0.00
18.230.228.65,2086,0,false,ORD,North America,Chicago,391,0.00
54.94.204.20,80,0,false,ORD,North America,Chicago,378,0.00
15.228.242.61,80,0,false,ORD,North America,Chicago,389,0.00
15.228.242.61,2096,0,false,ORD,North America,Chicago,385,0.00
54.94.232.122,2082,0,false,ORD,North America,Chicago,393,0.00
