IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
151.145.71.40,2052,2052,false,NRT,Asia Pacific,Tokyo,75,11.39
158.101.133.129,80,80,false,NRT,Asia Pacific,Tokyo,69,11.38
129.159.197.137,8443,443,true,FRA,Europe,Frankfurt,165,11.38
158.101.144.189,8080,8080,false,NRT,Asia Pacific,Tokyo,69,11.38
158.101.140.154,2083,2083,true,NRT,Asia Pacific,Tokyo,80,11.38
150.230.216.34,2087,2087,true,NRT,Asia Pacific,Tokyo,125,11.37
168.138.200.155,2082,2082,false,NRT,Asia Pacific,Tokyo,70,11.37
141.147.191.132,2096,2096,true,NRT,Asia Pacific,Tokyo,70,11.37
158.101.144.189,2095,2095,false,NRT,Asia Pacific,Tokyo,74,11.37
152.70.104.69,8080,8080,false,NRT,Asia Pacific,Tokyo,71,11.37
158.101.140.252,2087,2087,true,NRT,Asia Pacific,Tokyo,139,11.37
150.230.214.218,2095,2095,false,NRT,Asia Pacific,Tokyo,73,11.34
132.145.126.21,2096,2096,true,NRT,Asia Pacific,Tokyo,71,11.34
151.145.75.28,80,80,false,NRT,Asia Pacific,Tokyo,73,11.34
150.230.212.87,2082,2082,false,NRT,Asia Pacific,Tokyo,71,11.34
141.147.60.32,443,443,true,FRA,Europe,Frankfurt,212,11.34
151.145.68.104,2052,2052,false,NRT,Asia Pacific,Tokyo,78,11.33
158.101.221.206,443,443,true,FRA,Europe,Frankfurt,218,11.33
141.144.192.137,443,443,true,FRA,Europe,Frankfurt,174,11.33
158.101.146.203,80,80,false,NRT,Asia Pacific,Tokyo,75,11.33
141.147.191.211,8880,8880,false,NRT,Asia Pacific,Tokyo,70,11.32
150.230.222.185,8080,8080,false,NRT,Asia Pacific,Tokyo,74,11.32
141.148.246.182,443,443,true,FRA,Europe,Frankfurt,191,11.31
151.145.65.203,8443,8443,true,NRT,Asia Pacific,Tokyo,90,11.30
158.178.156.5,443,443,true,FRA,Europe,Frankfurt,207,11.30
